,id,title,var_entries,langs,appellation,acronym,qualifier,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba,name_parts
1415,1415,(yhvdh mykh`lzaahn),"[{'var': '(yhvdh mykh`lzaahn)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,יהודה,,,מיכאלזאָהן,,,"{""name_part_0"": ""(yhvdh"", ""name_part_1"": ""mykh`lzaahn)""}"
1416,1416,b. (yvsp ayzbytsky) mykhaal`vvytsh,"[{'var': 'b. (yvsp ayzbytsky) mykhaal`vvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,בּ.,,איזבּיצקי,,,,,,יוסף,,,מיכאַלעוויטש,,,"{""name_part_0"": ""b."", ""name_part_1"": ""(yvsp"", ""name_part_2"": ""ayzbytsky)"", ""name_part_3"": ""mykhaal`vvytsh""}"
1417,1417,mykhal (vvyysblaat) mykhaal`skaa,"[{'var': 'mykhal (vvyysblaat) mykhaal`skaa', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסבּלאַט,,,,,,מיכאל,,,מיכאַלעסקאָ,,,"{""name_part_0"": ""mykhal"", ""name_part_1"": ""(vvyysblaat)"", ""name_part_2"": ""mykhaal`skaa""}"
1418,1418,s. m. (shlmh vvaalpsy) mykhaa`ls,"[{'var': 's. m. (shlmh vvaalpsy) mykhaa`ls', 'src': 'ds', 'lang': 'en'}]",['en'],,ס. מ.,,וואָלפסי,,,,,,שלמה,,,מיכאָעלס,,,"{""name_part_0"": ""s."", ""name_part_1"": ""m."", ""name_part_2"": ""(shlmh"", ""name_part_3"": ""vvaalpsy)"", ""name_part_4"": ""mykhaa`ls""}"
1419,1419,b`ntsy` (bn-tsyvn) mykhtam,"[{'var': 'b`ntsy` (bn-tsyvn) mykhtam', 'src': 'ds', 'lang': 'en'}]",['en'],,,,בן-ציון,,,,,,,,,מיכטאם,בענציע,,"{""name_part_0"": ""b`ntsy`"", ""name_part_1"": ""(bn-tsyvn)"", ""name_part_2"": ""mykhtam""}"
1420,1420,hyyk` (paaskaal) mylb`rg,"[{'var': 'hyyk` (paaskaal) mylb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,פּאַסקאַל,,,,,,חייקע,,,מילבערג,,,"{""name_part_0"": ""hyyk`"", ""name_part_1"": ""(paaskaal)"", ""name_part_2"": ""mylb`rg""}"
1421,1421,m. avn y. myltaan,"[{'var': 'm. avn y. myltaan', 'src': 'ds', 'lang': 'en'}]",['en'],,י.,,,,,,,,און,,,מילטון,,,"{""name_part_0"": ""m."", ""name_part_1"": ""avn"", ""name_part_2"": ""y."", ""name_part_3"": ""myltaan""}"
1422,1422,h`l`naa myll`r,"[{'var': 'h`l`naa myll`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,העלענאַ,,,מיללער,העלענאַ מיללער,,"{""name_part_0"": ""h`l`naa"", ""name_part_1"": ""myll`r""}"
1423,1423,lvays `. (l. baand`s) myll`r,"[{'var': 'lvays `. (l. baand`s) myll`r', 'src': 'ds', 'lang': 'en'}]",['en'],,ע.,,ל. בּאַנדעס,,,,,,לוּאיס,,,מיללר,,,"{""name_part_0"": ""lvays"", ""name_part_1"": ""`."", ""name_part_2"": ""(l."", ""name_part_3"": ""baand`s)"", ""name_part_4"": ""myll`r""}"
1424,1424,sh. (ysh`yh) myll`r,"[{'var': 'sh. (ysh`yh) myll`r', 'src': 'ds', 'lang': 'en'}]",['en'],,ש.,,,,,,,,ישעיה,,,מיללער,,,"{""name_part_0"": ""sh."", ""name_part_1"": ""(ysh`yh)"", ""name_part_2"": ""myll`r""}"
1425,1425,maarkaa (maar`k) myln`r,"[{'var': 'maarkaa (maar`k) myln`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מארק,,,,,,מאַרקו,,,מילנער,,,"{""name_part_0"": ""maarkaa"", ""name_part_1"": ""(maar`k)"", ""name_part_2"": ""myln`r""}"
1426,1426,mvysh` myln`r,"[{'var': 'mvysh` myln`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,מוישע,,,מילנער,,,"{""name_part_0"": ""mvysh`"", ""name_part_1"": ""myln`r""}"
1427,1427,dzsh`ymz aalb`rt myl`r,"[{'var': 'dzsh`ymz aalb`rt myl`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,דזשעימז,,,מילער,,,"{""name_part_0"": ""dzsh`ymz"", ""name_part_1"": ""aalb`rt"", ""name_part_2"": ""myl`r""}"
