id,title,name_parts,lang,phoneme,name_part_given-name,name_part_middle-name,name_part_surname,name_part_salutation,name_part_patronymic,name_part_professional-name,name_part_maiden-surname,name_part_nisba,name_part_given-name_phoneme,name_part_middle-name_phoneme,name_part_surname_phoneme,name_part_salutation_phoneme,name_part_patronymic_phoneme,name_part_professional-name_phoneme,name_part_maiden-surname_phoneme,name_part_nisba_phoneme,name_part_alternative-name,name_part_alternative-name_phoneme,name_part_qualifier,name_part_honorific,name_part_qualifier_phoneme,name_part_honorific_phoneme,primary-name,matronymic,teknonym,professional-name,surname,acronym,appellation,nisba,salutation,middle-name,alternative-name,patronymic,honorific,qualifier,given-name,maiden-surname
632,albert friedman,"{""given-name"": ""albert"", ""surname"": ""friedman""}",en,ˈælbət fɻˈaɪdmæn,albert,,friedman,,,,,,ˈælbət,,fɻˈaɪdmæn,,,,,,,,,,,,,,,,Friedman,,,,,,,,,,Albert,
633,betsalel friedman,"{""given-name"": ""betsalel"", ""surname"": ""friedman""}",en,bˈɛtsələl fɻˈaɪdmæn,betsalel,,friedman,,,,,,bˈɛtsələl,,fɻˈaɪdmæn,,,,,,,,,,,,,,,,Friedman,,,,,,,,,,Betsalel,
634,itzhak friedman,"{""given-name"": ""itzhak"", ""surname"": ""friedman""}",en,ˈɪtsɑːk fɻˈaɪdmæn,itzhak,,friedman,,,,,,ˈɪtsɑːk,,fɻˈaɪdmæn,,,,,,,,,,,,,,,,Friedman,,,,,,,,,,Itzhak,
635,lara friedman,"{""given-name"": ""lara"", ""surname"": ""friedman""}",en,lˈæɻə fɻˈaɪdmæn,lara,,friedman,,,,,,lˈæɻə,,fɻˈaɪdmæn,,,,,,,,,,,,,,,,Friedman,,,,,,,,,,Lara,
636,reuben friedman,"{""given-name"": ""reuben"", ""surname"": ""friedman""}",en,ɻˈiːj|uːbən fɻˈaɪdmæn,reuben,,friedman,,,,,,ɻˈiːj|uːbən,,fɻˈaɪdmæn,,,,,,,,,,,,,,,,Friedman,,,,,,,,,,Reuben,
637,rose friedman,"{""given-name"": ""rose"", ""surname"": ""friedman""}",en,ɻˈəʊz fɻˈaɪdmæn,rose,,friedman,,,,,,ɻˈəʊz,,fɻˈaɪdmæn,,,,,,,,,,,,,,,,Friedman,,,,,,,,,,Rose,
638,louis friedsell,"{""given-name"": ""louis"", ""surname"": ""friedsell""}",en,laʊɪz fɻˈɛdsɛl,louis,,friedsell,,,,,,laʊɪz,,fɻˈɛdsɛl,,,,,,,,,,,,,,,,Friedsell,,,,,,,,,,Louis,
639,hersh froymovitsh,"{""given-name"": ""hersh"", ""surname"": ""froymovitsh""}",en,hˈɜːʃ fɻˈɔɪmə|ʊvɪʃʃ,hersh,,froymovitsh,,,,,,hˈɜːʃ,,fɻˈɔɪmə|ʊvɪʃʃ,,,,,,,,,,,,,,,,Froymovitsh,,,,,,,,,,Hersh,
640,abraham frumkin,"{""given-name"": ""abraham"", ""surname"": ""frumkin""}",en,əbɻəhæm fɻˈʌmkɪn,abraham,,frumkin,,,,,,əbɻəhæm,,fɻˈʌmkɪn,,,,,,,,,,,,,,,,Frumkin,,,,,,,,,,Abraham,
641,zanvil frumkis,"{""given-name"": ""zanvil"", ""surname"": ""frumkis""}",en,zˈeɪnvl̩ fɻˈʌmkɪz,zanvil,,frumkis,,,,,,zˈeɪnvl̩,,fɻˈʌmkɪz,,,,,,,,,,,,,,,,Frumkis,,,,,,,,,,Zanvil,
642,yakov fuchs,"{""given-name"": ""yakov"", ""surname"": ""fuchs""}",en,jˈækəʊv fj|ˈuːks,yakov,,fuchs,,,,,,jˈækəʊv,,fj|ˈuːks,,,,,,,,,,,,,,,,Fuchs,,,,,,,,,,Yakov,
643,ari fuhrman,"{""given-name"": ""ari"", ""surname"": ""fuhrman""}",en,ɑːrɪ fj|ˈʊəɻmən,ari,,fuhrman,,,,,,ɑːrɪ,,fj|ˈʊəɻmən,,,,,,,,,,,,,,,,Fuhrman,,,,,,,,,,Ari,
