id,title,name_parts,var_entries,langs,nisba,alternative-name,patronymic,surname,middle-name,matronymic,honorific,salutation,primary-name,appellation,professional-name,teknonym,acronym,given-name,qualifier
672,dzshaaz`p draabkyn,"{""given-name"": ""dzshaaz`p"", ""surname"": ""draabkyn""}","[{'var': 'dzshaaz`p draabkyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,דראַבּקין,,,,,,,,,,דזשאָזעף,
673,? draazdaavvytsh,"{""primary-name"": ""? draazdaavvytsh""}","[{'var': '? draazdaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,? דראָזדאָוויטש,,,,,,
674,(mrdkhy-dvd raaz`nblaat),"{""given-name"": ""mrdkhy"", ""middle-name"": ""dvd"", ""surname"": ""raaz`nblaat""}","[{'var': '(mrdkhy-dvd raaz`nblaat)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ראָזענבּלאַט,דוד,,,,,,,,,מרדכי,
675,naadyaa (gr`sy` myytvs) draanaavv,"{""given-name"": ""naadyaa"", ""alternative-name"": ""gr`sy`"", ""surname"": ""draanaavv""}","[{'var': 'naadyaa (gr`sy` myytvs) draanaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,גרעסיע,,דראַנאָוו,,,,,,,,,,נאַדיאַ,
676,naataan (nysn) draanaavv,"{""primary-name"": ""draanv bv"", ""given-name"": ""nataan"", ""alternative-name"": ""nysn"", ""surname"": ""dranv""}","[{'var': 'naataan (nysn) draanaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,ניסן,,דראנו,,,,,דראַנו בּו,,,,,נאטאַן,
677,lyyb drvk`r,"{""given-name"": ""lyyb"", ""surname"": ""drvk`r""}","[{'var': 'lyyb drvk`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,דרוקער,,,,,,,,,,לייב,
678,zsh`ny` dryyzyn,"{""primary-name"": ""zsh`ny` dryyzyn"", ""surname"": ""dryyzyn""}","[{'var': 'zsh`ny` dryyzyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,דרייזין,,,,,זשעניע דרייזין,,,,,,
679,h. drym`r,"{""surname"": ""drym`r"", ""honorific"": ""h.""}","[{'var': 'h. drym`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,דרימער,,,ה.,,,,,,,,
680,? hab`r,"{""honorific"": ""hab`r""}","[{'var': '? hab`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,האבּער,,,,,,,,
681,yaaz`p haab`rmaan,"{""given-name"": ""yaaz`p"", ""surname"": ""haab`rmaan""}","[{'var': 'yaaz`p haab`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האַבּערמאַן,,,,,,,,,,יאָזעף,
