id,title,var_entries,langs,lang,phoneme,primary-name,qualifier,patronymic,middle-name,professional-name,teknonym,matronymic,honorific,given-name,nisba,surname,alternative-name,salutation,appellation,acronym
311,shm`vn b`k`rmaan,"[{'var': 'shm`vn b`k`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃmvn bkmən̩,,,,,,,,,שמעון,,בּעקערמאַן,,,,
312,(astr gytl raaz`nkraants),"[{'var': '(astr gytl raaz`nkraants)', 'src': 'ds', 'lang': 'en'}]",['en'],en,æsɜ˞ dʒˈɪtl̩ ɻˈææŋɻənts,,,,גיטל,,,,,אסתר,,ראָזענקראַנץ,,,,
313,rvdaalp (zylb`rb`rg) b`rg,"[{'var': 'rvdaalp (zylb`rb`rg) b`rg', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɻvdælp za|ɪlbbɡ bɹg,רודאָלף,,,,,,,,,,בּערג,זילבערבערג,,,
314,(yaashaa gaald`nb`rg),"[{'var': '(yaashaa gaald`nb`rg)', 'src': 'ds', 'lang': 'en'}]",['en'],en,jæʃɑː ɡˈæˈɔːldnbɹg,,,,,,,,,יאַשאַ,,גאָלדענבּערג,,,,
315,aytsyk-m`ndl b`rgmaan,"[{'var': 'aytsyk-m`ndl b`rgmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪtsɪkmnl bɻmɑːn,,,,מענדל,,,,,איציק,,בּערגמאַן,,,,
316,yval b`rgman,"[{'var': 'yval b`rgman', 'src': 'ds', 'lang': 'en'}]",['en'],en,jvl̩ bɻɡmən,,,,,,,,,יואל,,בערגמאן,,,,
317,shmhh b`rgmaan,"[{'var': 'shmhh b`rgmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ʃmhh bɻmɑːn,,,,,,,,,שמחה,,בערגמאַן,,,,
318,dvd b`rg`lsaan,"[{'var': 'dvd b`rg`lsaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,dvd bɻɡlsɑːn̩,,,,,,,,,דוד,,שערגעלסאָן,,,,
319,gvstaavv (grshvn l`nb`rg`r) b`rg`r,"[{'var': 'gvstaavv (grshvn l`nb`rg`r) b`rg`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɡv|ˈɜːstˈæv ɡɻʃvn lnbɡɜ˞ bɻɡɜ˞,,,,,,,,,גוסטאַוו,,בערגער,גרשון,,,
320,l`aan b`rg`r,"[{'var': 'l`aan b`rg`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,lˈɑːn bɻɡɜ˞,,,,,,,,,לעאָן,,בּערגער,,,,
321,y`kb (grynb`rg) b`rgryn,"[{'var': 'y`kb (grynb`rg) b`rgryn', 'src': 'ds', 'lang': 'en'}]",['en'],en,jkb ɡɻɪnbɹg bɻɡɻɪn,יעקב,,,,,,,,,,בערגרין,גרינבערג,,,
322,(b`rdytsh`vv`r),"[{'var': '(b`rdytsh`vv`r)', 'src': 'ds', 'lang': 'en'}]",['en'],en,bɻdɪtʃvɜ˞,,,,,,,,,,בערדיטשעווער,,,,,
323,mykhh yvsp b`rdytsh`vvsky,"[{'var': 'mykhh yvsp b`rdytsh`vvsky', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈɪkh jv|ˈɜːsp bɻdɪtʃvskɪ,,,,יוסף,,,,,מיכה,,בערדיטשעווסקי,,,,
324,yhvsh` (byrtvn) b`rtaanaavv,"[{'var': 'yhvsh` (byrtvn) b`rtaanaavv', 'src': 'ds', 'lang': 'en'}]",['en'],en,ɪəvʃ bˈaɪtvn bɻtn̩ˈɑːv,יהושע,,,,,,,,,,בּערטאָנאו,בּירטון,,,
